"prompt","expected_output","category"
"Answer in one short sentence. Question: What is the capital of France?","The capital of France is Paris.","Q&A"
"Answer in one short sentence. Question: What is the capital of Japan?","The capital of Japan is Tokyo.","Q&A"
"Answer in one short sentence. Question: What is the capital of Italy?","The capital of Italy is Rome.","Q&A"
"Answer in one short sentence. Question: What is the capital of Brazil?","The capital of Brazil is Brasilia.","Q&A"
"Answer in one short sentence. Question: What is the capital of Canada?","The capital of Canada is Ottawa.","Q&A"
"Answer in one short sentence. Question: What is the capital of Australia?","The capital of Australia is Canberra.","Q&A"
"Answer in one short sentence. Question: What is the capital of Germany?","The capital of Germany is Berlin.","Q&A"
"Answer in one short sentence. Question: What is the capital of India?","The capital of India is New Delhi.","Q&A"
"Answer in one short sentence. Question: What is the capital of China?","The capital of China is Beijing.","Q&A"
"Answer in one short sentence. Question: What is the capital of Mexico?","The capital of Mexico is Mexico City.","Q&A"
"Answer in one short sentence. Question: What is the capital of Egypt?","The capital of Egypt is Cairo.","Q&A"
"Answer in one short sentence. Question: What is the capital of South Africa?","The capital of South Africa is Pretoria.","Q&A"
"Answer in one short sentence. Question: What is the capital of Argentina?","The capital of Argentina is Buenos Aires.","Q&A"
"Answer in one short sentence. Question: What is the capital of Spain?","The capital of Spain is Madrid.","Q&A"
"Answer in one short sentence. Question: What is the capital of Russia?","The capital of Russia is Moscow.","Q&A"
"Answer in one short sentence. Question: What is the capital of UK?","The capital of UK is London.","Q&A"
"Answer in one short sentence. Question: What is the capital of USA?","The capital of USA is Washington D.C..","Q&A"
"Answer in one short sentence. Question: What is the capital of South Korea?","The capital of South Korea is Seoul.","Q&A"
"Answer in one short sentence. Question: What is the capital of Turkey?","The capital of Turkey is Ankara.","Q&A"
"Answer in one short sentence. Question: What is the capital of Kenya?","The capital of Kenya is Nairobi.","Q&A"
"Answer in one short sentence. Question: What is the capital of Peru?","The capital of Peru is Lima.","Q&A"
"Answer in one short sentence. Question: What is the capital of Chile?","The capital of Chile is Santiago.","Q&A"
"Answer in one short sentence. Question: What is the capital of Colombia?","The capital of Colombia is Bogota.","Q&A"
"Answer in one short sentence. Question: What is the capital of Venezuela?","The capital of Venezuela is Caracas.","Q&A"
"Answer in one short sentence. Question: What is the capital of Thailand?","The capital of Thailand is Bangkok.","Q&A"
"Answer in one short sentence. Question: What is the capital of Vietnam?","The capital of Vietnam is Hanoi.","Q&A"
"Answer in one short sentence. Question: What is the capital of Malaysia?","The capital of Malaysia is Kuala Lumpur.","Q&A"
"Answer in one short sentence. Question: What is the capital of Indonesia?","The capital of Indonesia is Jakarta.","Q&A"
"Answer in one short sentence. Question: What is the capital of Philippines?","The capital of Philippines is Manila.","Q&A"
"Answer in one short sentence. Question: What is the capital of Pakistan?","The capital of Pakistan is Islamabad.","Q&A"
"Answer in one short sentence. Question: What is the capital of Bangladesh?","The capital of Bangladesh is Dhaka.","Q&A"
"Answer in one short sentence. Question: What is the capital of Iran?","The capital of Iran is Tehran.","Q&A"
"Answer in one short sentence. Question: What is the capital of Iraq?","The capital of Iraq is Baghdad.","Q&A"
"Answer in one short sentence. Question: What is the capital of Saudi Arabia?","The capital of Saudi Arabia is Riyadh.","Q&A"
"Answer in one short sentence. Question: What is the capital of Sweden?","The capital of Sweden is Stockholm.","Q&A"
"Answer in one short sentence. Question: What is the capital of Norway?","The capital of Norway is Oslo.","Q&A"
"Answer in one short sentence. Question: What is the capital of Finland?","The capital of Finland is Helsinki.","Q&A"
"Answer in one short sentence. Question: What is the capital of Denmark?","The capital of Denmark is Copenhagen.","Q&A"
"Answer in one short sentence. Question: What is the capital of Poland?","The capital of Poland is Warsaw.","Q&A"
"Answer in one short sentence. Question: What is the capital of Ukraine?","The capital of Ukraine is Kyiv.","Q&A"
"Answer in one short sentence. Question: What is the capital of Romania?","The capital of Romania is Bucharest.","Q&A"
"Answer in one short sentence. Question: What is the capital of Greece?","The capital of Greece is Athens.","Q&A"
"Answer in one short sentence. Question: What is the capital of Portugal?","The capital of Portugal is Lisbon.","Q&A"
"Answer in one short sentence. Question: What is the capital of Morocco?","The capital of Morocco is Rabat.","Q&A"
"Answer in one short sentence. Question: What is the capital of Nigeria?","The capital of Nigeria is Abuja.","Q&A"
"Answer in one short sentence. Question: What is the capital of Ethiopia?","The capital of Ethiopia is Addis Ababa.","Q&A"
"Answer in one short sentence. Question: What is the capital of Tanzania?","The capital of Tanzania is Dodoma.","Q&A"
"Answer in one short sentence. Question: What is the capital of Uganda?","The capital of Uganda is Kampala.","Q&A"
"Answer in one short sentence. Question: What is the capital of Ghana?","The capital of Ghana is Accra.","Q&A"
"Answer in one short sentence. Question: What is the capital of Senegal?","The capital of Senegal is Dakar.","Q&A"
"Answer in one short sentence. Question: What is the capital of Cuba?","The capital of Cuba is Havana.","Q&A"
"Answer in one short sentence. Question: What is the capital of Jamaica?","The capital of Jamaica is Kingston.","Q&A"
"Answer in one short sentence. Question: What is the capital of New Zealand?","The capital of New Zealand is Wellington.","Q&A"
"Answer in one short sentence. Question: What is the capital of Fiji?","The capital of Fiji is Suva.","Q&A"
"Answer in one short sentence. Question: What is the capital of Ireland?","The capital of Ireland is Dublin.","Q&A"
"Answer in one short sentence. Question: What is the capital of Iceland?","The capital of Iceland is Reykjavik.","Q&A"
"Answer in one short sentence. Question: What is the capital of Austria?","The capital of Austria is Vienna.","Q&A"
"Answer in one short sentence. Question: What is the capital of Switzerland?","The capital of Switzerland is Bern.","Q&A"
"Answer in one short sentence. Question: What is the capital of Belgium?","The capital of Belgium is Brussels.","Q&A"
"Answer in one short sentence. Question: What is the capital of Netherlands?","The capital of Netherlands is Amsterdam.","Q&A"
"Solve this step by step. Problem: If you have 2 apples and buy 3 more, then give away 1, how many are left?","Step 1: You start with 2 apples.
Step 2: You buy 3 more, making 5 apples.
Step 3: You give away 1, leaving 4 apples.
Final answer: 4","Reasoning"
"Solve this step by step. Problem: If you have 4 apples and buy 6 more, then give away 2, how many are left?","Step 1: You start with 4 apples.
Step 2: You buy 6 more, making 10 apples.
Step 3: You give away 2, leaving 8 apples.
Final answer: 8","Reasoning"
"Solve this step by step. Problem: If you have 6 apples and buy 9 more, then give away 3, how many are left?","Step 1: You start with 6 apples.
Step 2: You buy 9 more, making 15 apples.
Step 3: You give away 3, leaving 12 apples.
Final answer: 12","Reasoning"
"Solve this step by step. Problem: If you have 8 apples and buy 12 more, then give away 4, how many are left?","Step 1: You start with 8 apples.
Step 2: You buy 12 more, making 20 apples.
Step 3: You give away 4, leaving 16 apples.
Final answer: 16","Reasoning"
"Solve this step by step. Problem: If you have 10 apples and buy 15 more, then give away 5, how many are left?","Step 1: You start with 10 apples.
Step 2: You buy 15 more, making 25 apples.
Step 3: You give away 5, leaving 20 apples.
Final answer: 20","Reasoning"
"Solve this step by step. Problem: If you have 12 apples and buy 18 more, then give away 6, how many are left?","Step 1: You start with 12 apples.
Step 2: You buy 18 more, making 30 apples.
Step 3: You give away 6, leaving 24 apples.
Final answer: 24","Reasoning"
"Solve this step by step. Problem: If you have 14 apples and buy 21 more, then give away 7, how many are left?","Step 1: You start with 14 apples.
Step 2: You buy 21 more, making 35 apples.
Step 3: You give away 7, leaving 28 apples.
Final answer: 28","Reasoning"
"Solve this step by step. Problem: If you have 16 apples and buy 24 more, then give away 8, how many are left?","Step 1: You start with 16 apples.
Step 2: You buy 24 more, making 40 apples.
Step 3: You give away 8, leaving 32 apples.
Final answer: 32","Reasoning"
"Solve this step by step. Problem: If you have 18 apples and buy 27 more, then give away 9, how many are left?","Step 1: You start with 18 apples.
Step 2: You buy 27 more, making 45 apples.
Step 3: You give away 9, leaving 36 apples.
Final answer: 36","Reasoning"
"Solve this step by step. Problem: If you have 20 apples and buy 30 more, then give away 10, how many are left?","Step 1: You start with 20 apples.
Step 2: You buy 30 more, making 50 apples.
Step 3: You give away 10, leaving 40 apples.
Final answer: 40","Reasoning"
"Solve this step by step. Problem: If you have 22 apples and buy 33 more, then give away 11, how many are left?","Step 1: You start with 22 apples.
Step 2: You buy 33 more, making 55 apples.
Step 3: You give away 11, leaving 44 apples.
Final answer: 44","Reasoning"
"Solve this step by step. Problem: If you have 24 apples and buy 36 more, then give away 12, how many are left?","Step 1: You start with 24 apples.
Step 2: You buy 36 more, making 60 apples.
Step 3: You give away 12, leaving 48 apples.
Final answer: 48","Reasoning"
"Solve this step by step. Problem: If you have 26 apples and buy 39 more, then give away 13, how many are left?","Step 1: You start with 26 apples.
Step 2: You buy 39 more, making 65 apples.
Step 3: You give away 13, leaving 52 apples.
Final answer: 52","Reasoning"
"Solve this step by step. Problem: If you have 28 apples and buy 42 more, then give away 14, how many are left?","Step 1: You start with 28 apples.
Step 2: You buy 42 more, making 70 apples.
Step 3: You give away 14, leaving 56 apples.
Final answer: 56","Reasoning"
